"5YJSA1A1CF","5YJ","S","A","1","A","1","C","F","0"
"5YJSA1A1CP","5YJ","S","A","1","A","1","C","P","0"
"5YJSA1A1DF","5YJ","S","A","1","A","1","D","F","0"
"5YJSA1A1DP","5YJ","S","A","1","A","1","D","P","0"
"5YJSA1A1EF","5YJ","S","A","1","A","1","E","F","0"
"5YJSA1A1EP","5YJ","S","A","1","A","1","E","P","0"
"5YJSA1A2CF","5YJ","S","A","1","A","2","C","F","0"
"5YJSA1A2CP","5YJ","S","A","1","A","2","C","P","0"
"5YJSA1A2DF","5YJ","S","A","1","A","2","D","F","0"
"5YJSA1A2DP","5YJ","S","A","1","A","2","D","P","0"
"5YJSA1A2EF","5YJ","S","A","1","A","2","E","F","0"
"5YJSA1A2EP","5YJ","S","A","1","A","2","E","P","0"
"5YJSA1ACCF","5YJ","S","A","1","A","C","C","F","0"
"5YJSA1ACCP","5YJ","S","A","1","A","C","C","P","0"
"5YJSA1ACDF","5YJ","S","A","1","A","C","D","F","0"
"5YJSA1ACDP","5YJ","S","A","1","A","C","D","P","0"
"5YJSA1ACEF","5YJ","S","A","1","A","C","E","F","0"
"5YJSA1ACEP","5YJ","S","A","1","A","C","E","P","0"
"5YJSA1AGCF","5YJ","S","A","1","A","G","C","F","0"
"5YJSA1AGCP","5YJ","S","A","1","A","G","C","P","0"
"5YJSA1AGDF","5YJ","S","A","1","A","G","D","F","0"
"5YJSA1AGDP","5YJ","S","A","1","A","G","D","P","0"
"5YJSA1AGEF","5YJ","S","A","1","A","G","E","F","0"
"5YJSA1AGEP","5YJ","S","A","1","A","G","E","P","0"
"5YJSA1ANCF","5YJ","S","A","1","A","N","C","F","0"
"5YJSA1ANCP","5YJ","S","A","1","A","N","C","P","0"
"5YJSA1ANDF","5YJ","S","A","1","A","N","D","F","0"
"5YJSA1ANDP","5YJ","S","A","1","A","N","D","P","0"
"5YJSA1ANEF","5YJ","S","A","1","A","N","E","F","0"
"5YJSA1ANEP","5YJ","S","A","1","A","N","E","P","0"
